               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.045135,            0.022628,           0.0063414,             0.61879,             0.55517,             0.57686,             0.27592,            0.042368,            0.015294,           0.0086766,            0.008449,            0.008449,            0.008449
                  49,            0.045192,            0.022437,           0.0064225,             0.60969,             0.56062,             0.57675,             0.27887,            0.042211,            0.015335,           0.0083687,            0.008416,            0.008416,            0.008416
                  50,             0.04518,             0.02221,           0.0063939,             0.62489,             0.56291,             0.57944,             0.27994,            0.042129,            0.015274,           0.0085615,            0.008383,            0.008383,            0.008383
                  51,            0.044653,            0.022461,           0.0061576,             0.61976,             0.56538,             0.58195,             0.28114,            0.042179,            0.015303,           0.0085483,             0.00835,             0.00835,             0.00835
                  52,             0.04467,            0.022628,           0.0060272,             0.62144,             0.56239,             0.58323,             0.28139,            0.042138,             0.01531,            0.008699,            0.008317,            0.008317,            0.008317
                  53,            0.044696,            0.022584,           0.0060008,             0.62232,             0.54912,             0.57472,             0.27641,            0.042267,             0.01545,           0.0088122,            0.008284,            0.008284,            0.008284
                  54,            0.044392,            0.022206,           0.0059517,             0.61268,             0.56837,             0.57886,             0.27838,            0.042172,            0.015414,           0.0087589,            0.008251,            0.008251,            0.008251
                  55,             0.04438,            0.022478,           0.0057335,             0.61017,             0.57487,             0.58387,              0.2805,            0.042025,            0.015379,           0.0087506,            0.008218,            0.008218,            0.008218
                  56,             0.04443,            0.022067,             0.00585,             0.62047,             0.56761,             0.58621,             0.28262,            0.042091,            0.015382,           0.0087204,            0.008185,            0.008185,            0.008185
                  57,            0.044139,            0.022213,           0.0059455,             0.62775,             0.56045,             0.58636,             0.28432,            0.042014,            0.015377,           0.0085945,            0.008152,            0.008152,            0.008152
                  58,            0.044331,            0.022319,           0.0057518,             0.62373,             0.56781,             0.58656,             0.28368,            0.042049,            0.015391,           0.0086025,            0.008119,            0.008119,            0.008119
                  59,            0.044071,            0.021762,            0.005857,             0.62008,             0.56551,             0.58448,              0.2829,             0.04212,            0.015394,            0.008717,            0.008086,            0.008086,            0.008086
                  60,            0.044077,            0.022227,           0.0055842,             0.62261,              0.5706,             0.58426,             0.28312,            0.042098,            0.015414,           0.0087336,            0.008053,            0.008053,            0.008053
                  61,            0.043851,            0.022382,           0.0055003,             0.63276,             0.55563,             0.58088,             0.28192,            0.042122,             0.01544,           0.0087953,             0.00802,             0.00802,             0.00802
                  62,            0.043411,            0.022193,           0.0052976,              0.6356,             0.55928,             0.58274,             0.28222,            0.042112,            0.015415,           0.0089279,            0.007987,            0.007987,            0.007987
                  63,             0.04355,             0.02204,           0.0054954,             0.63811,             0.55958,             0.58248,              0.2829,             0.04206,            0.015396,           0.0089303,            0.007954,            0.007954,            0.007954
                  64,            0.043405,            0.021801,           0.0053705,             0.62736,             0.56118,             0.58309,             0.28298,            0.042036,            0.015403,           0.0089333,            0.007921,            0.007921,            0.007921
                  65,            0.043077,            0.021958,           0.0056572,             0.62334,             0.56585,             0.58253,             0.28226,            0.042048,            0.015413,           0.0089978,            0.007888,            0.007888,            0.007888
                  66,            0.043249,            0.021884,           0.0053006,              0.6198,             0.56734,             0.58162,             0.28206,            0.042044,            0.015419,           0.0090882,            0.007855,            0.007855,            0.007855
                  67,            0.043228,            0.021728,           0.0054338,             0.61808,             0.57046,             0.58237,             0.28231,            0.042057,            0.015428,           0.0090181,            0.007822,            0.007822,            0.007822
                  68,            0.043015,            0.021364,           0.0052037,             0.62155,             0.56451,             0.58267,             0.28298,             0.04204,            0.015456,            0.009022,            0.007789,            0.007789,            0.007789
                  69,            0.043047,            0.021616,           0.0053206,              0.6102,             0.56468,             0.57983,             0.28215,            0.042051,            0.015476,           0.0090069,            0.007756,            0.007756,            0.007756
                  70,            0.042703,            0.021795,            0.005128,             0.62062,             0.56571,             0.58004,             0.28234,            0.042066,            0.015478,            0.009013,            0.007723,            0.007723,            0.007723
                  71,            0.042502,            0.021526,           0.0050174,               0.614,             0.56627,             0.58087,             0.28219,            0.042046,            0.015488,           0.0090026,             0.00769,             0.00769,             0.00769
                  72,            0.042925,            0.021546,           0.0051769,             0.62052,             0.56338,             0.58216,             0.28263,            0.042045,            0.015492,           0.0089847,            0.007657,            0.007657,            0.007657
